0004000000030500	ASSJ	スーパーストリートファイターIV 3D EDITION
0004000000030B00	ADAJ	nintendogs + cats 柴 & Newフレンズ
0004000000031000	ADBJ	nintendogs + cats フレンチ･ブル & Newフレンズ
0004000000031500	ADCJ	nintendogs + cats トイ･プードル & Newフレンズ
0004000000031E00	A66J	戦国無双 Chronicle
0004000000032A00	ABBJ	とびだす!パズルボブル 3D
0004000000032900	AEEJ	ウイニングイレブン 3DSoccer
0004000000031F00	AKKJ	レイトン教授と奇跡の仮面
0004000000034500	ARBJ	ラビッツ タイム・トラベル
0004000000032800	ARRJ	リッジレーサー3D
0004000000034400	ASCJ	Tom Clancy's スプリンターセル 3D
0004000000033300	ASFJ	ASPHALT 3D：NITRO RACING  アスファルト 3D ニトロレーシング
0004000000034100	ASHJ	上海3Dキューブ
0004000000032E00	ASMJ	スーパーモンキーボール3D
0004000000032B00	ATTJ	コンバット オブ ジャイアント ダイナソー3D
0004000000039700	ANQJ	ニコリの数独3D ～8つのパズルで1000問～
0004000000037F00	AS3J	ザ・シムズ3
0004000000034200	AV4J	ウイルスシューターXX
0004000000035B00	ANTJ	NARUTO-ナルト- 疾風伝 忍立体絵巻! 最強忍界決戦!!
0004000000034A00	ABLJ	BLAZBLUE CONTINUUM SHIFT Ⅱ
0004000000032000	ADDJ	DEAD OR ALIVE Dimensions
0004000000039400	AKTJ	空間さがしもの系脳力開発 3D脳トレーニング
0004000000034900	APSJ	プロ野球スピリッツ2011
0004000000039800	A78J	GUNDAM THE 3D BATTLE
0004000000039600	AFSJ	プロ野球 ファミスタ2011
0004000000030C00	ADAP	nintendogs™ + cats Golden Retriever & New Friends
0004000000031100	ADBP	nintendogs™ + cats French Bulldog & New Friends
0004000000031600	ADCP	nintendogs™ + cats Toy Poodle & New Friends
0004000000037C00	AEEP	Pro Evolution Soccer 2011 3D
0004000000037500	AGRP	Tom Clancy's Ghost Recon® Shadow Wars
0004000000038C00	ALGP	LEGO® Star Wars® III: The Clone Wars™ 
0004000000033B00	ARRP	RIDGE RACER™ 3D
0004000000033D00	AS3P	Die Sims 3
0004000000033A00	ASCP	Tom Clancy’s™ Splinter Cell® 3D
0004000000037600	ASFP	Asphalt™ 3D
0004000000038900	ASMP	Super Monkey Ball™ 3D
0004000000033C00	ASSP	Super Street Fighter IV 3D
0004000000031D00	AWAP	Pilotwings Resort™
0004000000033E00	AMDP	Madden NFL Football
0004000000033800	ABBP	PUZZLE BOBBLE UNIVERSE™
0004000000038A00	ADDP	Dead or Alive Dimensions
0004000000030300	ASDJ	スティールダイバー
0004000000032300	ASDP	Steel Diver
0004000000034300	AQNJ	Cubic Ninja
0004000000034D00	A66E	SAMURAI WARRIORS®: Chronicles
0004000000035E00	ABBE	BUST-A-MOVE UNIVERSE
0004000000030D00	ADAE	nintendogs™ + cats: Golden Retriever and New Friends
0004000000031200	ADBE	nintendogs™ + cats: French Bulldog and New Friends
0004000000031700	ADCE	nintendogs™ + cats: Toy Poodle and New Friends
0004000000035A00	AGRE	Tom Clancy’s Ghost Recon® Shadow Wars
0004000000035400	ALGE	LEGO® Star Wars® III: The Clone Wars™
0004000000035500	AMDE	Madden NFL Football
0004000000035700	ARBE	Rabbids® Travel in Time 3D
0004000000035800	ARRE	RIDGE RACER® 3D
0004000000036400	ARYE	RAYMAN® 3D
0004000000036500	AS3E	The Sims™ 3
0004000000040100	ASCZ	Tom Clancy's Splinter Cell® 3D
0004000000032400	ASDE	Steel Diver™
0004000000034C00	ASFE	Asphalt™ 3D
0004000000037000	ASME	Super Monkey Ball™ 3D
0004000000032D00	ASSE	SUPER STREET FIGHTER® IV 3D EDITION
0004000000035100	ATTE	Combat of Giants™ Dinosaurs 3D
0004000000031C00	AWAE	Pilotwings Resort™
0004000000033700	ADEJ	DECA SPORTA 3D SPORTS （デカスポルタ 3Dスポーツ）
